コンピューター名,ポリシー ターゲット,サブカテゴリ,サブカテゴリ GUID,包含設定,除外設定,設定値
B1WS31,システム,システムの整合性,{0CCE9212-69AE-11D9-BED3-505054503030},成功および失敗,,3
B1WS31,システム,セキュリティ システムの拡張,{0CCE9211-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,IPsec ドライバー,{0CCE9213-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,その他のシステム イベント,{0CCE9214-69AE-11D9-BED3-505054503030},成功および失敗,,3
B1WS31,システム,セキュリティ状態の変更,{0CCE9210-69AE-11D9-BED3-505054503030},成功,,1
B1WS31,システム,IPsec 拡張モード,{0CCE921A-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,特殊なログオン,{0CCE921B-69AE-11D9-BED3-505054503030},成功,,1
B1WS31,システム,IPsec メイン モード,{0CCE9218-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,アカウント ロックアウト,{0CCE9217-69AE-11D9-BED3-505054503030},成功,,1
B1WS31,システム,アクセス権,{0CCE924B-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,グループ メンバーシップ,{0CCE9249-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,ユーザー要求/デバイスの信頼性情報,{0CCE9247-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,ネットワーク ポリシー サーバー,{0CCE9243-69AE-11D9-BED3-505054503030},成功および失敗,,3
B1WS31,システム,その他のログオン/ログオフ イベント,{0CCE921C-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,ログオフ,{0CCE9216-69AE-11D9-BED3-505054503030},成功,,1
B1WS31,システム,IPsec クイック モード,{0CCE9219-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,ログオン,{0CCE9215-69AE-11D9-BED3-505054503030},成功および失敗,,3
B1WS31,システム,SAM,{0CCE9220-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,証明書サービス,{0CCE9221-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,生成されたアプリケーション,{0CCE9222-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,カーネル オブジェクト,{0CCE921F-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,ファイルの共有,{0CCE9224-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,フィルタリング プラットフォーム パケットのドロップ,{0CCE9225-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,フィルタリング プラットフォームの接続,{0CCE9226-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,その他のオブジェクト アクセス イベント,{0CCE9227-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,詳細なファイル共有,{0CCE9244-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,リムーバブル記憶域,{0CCE9245-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,集約型ポリシー ステージング,{0CCE9246-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,レジストリ,{0CCE921E-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,ファイル システム,{0CCE921D-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,ハンドル操作,{0CCE9223-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,重要でない特権の使用,{0CCE9229-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,その他の特権の使用イベント,{0CCE922A-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,重要な特権の使用,{0CCE9228-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,プロセス作成,{0CCE922B-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,プロセス終了,{0CCE922C-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,DPAPI アクティビティ,{0CCE922D-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,RPC イベント,{0CCE922E-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,プラグ アンド プレイ イベント,{0CCE9248-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,トークン権限調整済みイベント,{0CCE924A-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,フィルタリング プラットフォームのポリシーの変更,{0CCE9233-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,MPSSVC ルールレベル ポリシーの変更,{0CCE9232-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,ポリシーの変更の承認,{0CCE9231-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,ポリシーの変更の認証,{0CCE9230-69AE-11D9-BED3-505054503030},成功,,1
B1WS31,システム,ポリシーの変更の監査,{0CCE922F-69AE-11D9-BED3-505054503030},成功,,1
B1WS31,システム,その他のポリシー変更イベント,{0CCE9234-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,その他のアカウント管理イベント,{0CCE923A-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,アプリケーション グループの管理,{0CCE9239-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,配布グループの管理,{0CCE9238-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,セキュリティ グループ管理,{0CCE9237-69AE-11D9-BED3-505054503030},成功,,1
B1WS31,システム,コンピューター アカウント管理,{0CCE9236-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,ユーザー アカウント管理,{0CCE9235-69AE-11D9-BED3-505054503030},成功,,1
B1WS31,システム,ディレクトリ サービスの変更,{0CCE923C-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,ディレクトリ サービスのレプリケーション,{0CCE923D-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,詳細なディレクトリ サービス レプリケーション,{0CCE923E-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,ディレクトリ サービス アクセス,{0CCE923B-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,資格情報の確認,{0CCE923F-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,Kerberos サービス チケット操作,{0CCE9240-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,その他のアカウント ログオン イベント,{0CCE9241-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,システム,Kerberos 認証サービス,{0CCE9242-69AE-11D9-BED3-505054503030},監査なし,,0
B1WS31,,オプション:CrashOnAuditFail,,無効,,0
B1WS31,,オプション:FullPrivilegeAuditing,,無効,,0
B1WS31,,オプション:AuditBaseObjects,,無効,,0
B1WS31,,オプション:AuditBaseDirectories,,無効,,0
